elapsed_s,phase,arms_ma,head_ma,total_ma
0.003,simultaneous_pose,0.0,6.5,6.5
0.006,simultaneous_pose,0.0,6.5,6.5
0.009,simultaneous_pose,0.0,0.0,0.0
0.012,simultaneous_pose,0.0,0.0,0.0
0.015,simultaneous_pose,0.0,6.5,6.5
0.018,simultaneous_pose,0.0,0.0,0.0
0.02,simultaneous_pose,19.5,0.0,19.5
0.023,simultaneous_pose,26.0,0.0,26.0
0.026,simultaneous_pose,52.0,6.5,58.5
0.029,simultaneous_pose,26.0,0.0,26.0
0.032,simultaneous_pose,26.0,0.0,26.0
0.035,simultaneous_pose,45.5,0.0,45.5
0.038,simultaneous_pose,45.5,0.0,45.5
0.041,simultaneous_pose,65.0,0.0,65.0
0.044,simultaneous_pose,65.0,0.0,65.0
0.047,simultaneous_pose,78.0,0.0,78.0
0.05,simultaneous_pose,91.0,0.0,91.0
0.053,simultaneous_pose,97.5,0.0,97.5
0.056,simultaneous_pose,78.0,0.0,78.0
0.059,simultaneous_pose,97.5,0.0,97.5
0.062,simultaneous_pose,123.5,0.0,123.5
0.065,simultaneous_pose,130.0,0.0,130.0
0.068,simultaneous_pose,123.5,0.0,123.5
0.07,simultaneous_pose,117.0,0.0,117.0
0.073,simultaneous_pose,136.5,0.0,136.5
0.076,simultaneous_pose,110.5,0.0,110.5
0.079,simultaneous_pose,123.5,0.0,123.5
0.082,simultaneous_pose,143.0,0.0,143.0
0.085,simultaneous_pose,156.0,6.5,162.5
0.088,simultaneous_pose,182.0,0.0,182.0
0.091,simultaneous_pose,143.0,0.0,143.0
0.094,simultaneous_pose,156.0,0.0,156.0
0.097,simultaneous_pose,169.0,0.0,169.0
0.1,simultaneous_pose,182.0,0.0,182.0
0.103,simultaneous_pose,195.0,0.0,195.0
0.105,simultaneous_pose,169.0,0.0,169.0
0.108,simultaneous_pose,195.0,0.0,195.0
0.111,simultaneous_pose,182.0,0.0,182.0
0.114,simultaneous_pose,182.0,6.5,188.5
0.117,simultaneous_pose,195.0,0.0,195.0
0.12,simultaneous_pose,234.0,0.0,234.0
0.122,simultaneous_pose,169.0,0.0,169.0
0.125,simultaneous_pose,182.0,0.0,182.0
0.128,simultaneous_pose,175.5,0.0,175.5
0.131,simultaneous_pose,188.5,0.0,188.5
0.134,simultaneous_pose,247.0,0.0,247.0
0.137,simultaneous_pose,214.5,0.0,214.5
0.14,simultaneous_pose,227.5,6.5,234.0
0.143,simultaneous_pose,227.5,0.0,227.5
0.146,simultaneous_pose,240.5,0.0,240.5
0.148,simultaneous_pose,227.5,0.0,227.5
0.151,simultaneous_pose,253.5,0.0,253.5
0.154,simultaneous_pose,234.0,0.0,234.0
0.157,simultaneous_pose,266.5,0.0,266.5
0.16,simultaneous_pose,234.0,0.0,234.0
0.162,simultaneous_pose,221.0,0.0,221.0
0.165,simultaneous_pose,240.5,0.0,240.5
0.168,simultaneous_pose,234.0,0.0,234.0
0.171,simultaneous_pose,240.5,0.0,240.5
0.174,simultaneous_pose,227.5,0.0,227.5
0.177,simultaneous_pose,260.0,0.0,260.0
0.179,simultaneous_pose,247.0,0.0,247.0
0.182,simultaneous_pose,279.5,6.5,286.0
0.185,simultaneous_pose,312.0,0.0,312.0
0.188,simultaneous_pose,266.5,0.0,266.5
0.191,simultaneous_pose,273.0,0.0,273.0
0.193,simultaneous_pose,279.5,0.0,279.5
0.196,simultaneous_pose,253.5,0.0,253.5
0.199,simultaneous_pose,292.5,6.5,299.0
0.202,simultaneous_pose,266.5,0.0,266.5
0.205,simultaneous_pose,292.5,0.0,292.5
0.207,simultaneous_pose,305.5,6.5,312.0
0.21,simultaneous_pose,273.0,0.0,273.0
0.213,simultaneous_pose,253.5,6.5,260.0
0.216,simultaneous_pose,253.5,0.0,253.5
0.218,simultaneous_pose,247.0,0.0,247.0
0.221,simultaneous_pose,273.0,6.5,279.5
0.224,simultaneous_pose,286.0,0.0,286.0
0.227,simultaneous_pose,292.5,0.0,292.5
0.23,simultaneous_pose,292.5,0.0,292.5
0.232,simultaneous_pose,325.0,0.0,325.0
0.235,simultaneous_pose,344.5,0.0,344.5
0.238,simultaneous_pose,305.5,0.0,305.5
0.241,simultaneous_pose,344.5,0.0,344.5
0.243,simultaneous_pose,325.0,0.0,325.0
0.246,simultaneous_pose,331.5,0.0,331.5
0.249,simultaneous_pose,344.5,0.0,344.5
0.252,simultaneous_pose,312.0,6.5,318.5
0.254,simultaneous_pose,312.0,0.0,312.0
0.257,simultaneous_pose,338.0,0.0,338.0
0.26,simultaneous_pose,325.0,0.0,325.0
0.263,simultaneous_pose,383.5,0.0,383.5
0.265,simultaneous_pose,338.0,0.0,338.0
0.268,simultaneous_pose,344.5,6.5,351.0
0.271,simultaneous_pose,357.5,0.0,357.5
0.274,simultaneous_pose,331.5,0.0,331.5
0.276,simultaneous_pose,351.0,0.0,351.0
0.279,simultaneous_pose,364.0,0.0,364.0
0.282,simultaneous_pose,377.0,0.0,377.0
0.284,simultaneous_pose,338.0,0.0,338.0
0.287,simultaneous_pose,364.0,0.0,364.0
0.29,simultaneous_pose,351.0,0.0,351.0
0.293,simultaneous_pose,357.5,0.0,357.5
0.295,simultaneous_pose,364.0,0.0,364.0
0.298,simultaneous_pose,383.5,6.5,390.0
0.3,simultaneous_pose,351.0,0.0,351.0
0.303,simultaneous_pose,422.5,0.0,422.5
0.306,simultaneous_pose,370.5,0.0,370.5
0.309,simultaneous_pose,364.0,0.0,364.0
0.311,simultaneous_pose,396.5,0.0,396.5
0.314,simultaneous_pose,396.5,0.0,396.5
0.317,simultaneous_pose,364.0,0.0,364.0
0.319,simultaneous_pose,403.0,0.0,403.0
0.322,simultaneous_pose,403.0,6.5,409.5
0.325,simultaneous_pose,435.5,0.0,435.5
0.327,simultaneous_pose,403.0,0.0,403.0
0.33,simultaneous_pose,396.5,6.5,403.0
0.333,simultaneous_pose,370.5,0.0,370.5
0.335,simultaneous_pose,383.5,0.0,383.5
0.338,simultaneous_pose,396.5,6.5,403.0
0.341,simultaneous_pose,377.0,0.0,377.0
0.343,simultaneous_pose,351.0,0.0,351.0
0.346,simultaneous_pose,357.5,0.0,357.5
0.349,simultaneous_pose,396.5,0.0,396.5
0.351,simultaneous_pose,409.5,0.0,409.5
0.354,simultaneous_pose,351.0,0.0,351.0
0.357,simultaneous_pose,377.0,0.0,377.0
0.359,simultaneous_pose,344.5,6.5,351.0
0.362,simultaneous_pose,370.5,0.0,370.5
0.365,simultaneous_pose,351.0,6.5,357.5
0.367,simultaneous_pose,344.5,0.0,344.5
0.37,simultaneous_pose,338.0,0.0,338.0
0.372,simultaneous_pose,383.5,0.0,383.5
0.375,simultaneous_pose,344.5,0.0,344.5
0.378,simultaneous_pose,331.5,0.0,331.5
0.381,simultaneous_pose,338.0,0.0,338.0
0.383,simultaneous_pose,331.5,0.0,331.5
0.386,simultaneous_pose,318.5,0.0,318.5
0.388,simultaneous_pose,344.5,0.0,344.5
0.391,simultaneous_pose,338.0,6.5,344.5
0.394,simultaneous_pose,318.5,0.0,318.5
0.397,simultaneous_pose,331.5,0.0,331.5
0.399,simultaneous_pose,299.0,0.0,299.0
0.402,simultaneous_pose,331.5,0.0,331.5
0.405,simultaneous_pose,325.0,0.0,325.0
0.407,simultaneous_pose,292.5,0.0,292.5
0.41,simultaneous_pose,292.5,0.0,292.5
0.413,simultaneous_pose,286.0,0.0,286.0
0.415,simultaneous_pose,312.0,0.0,312.0
0.418,simultaneous_pose,266.5,0.0,266.5
0.42,simultaneous_pose,260.0,0.0,260.0
0.423,simultaneous_pose,286.0,0.0,286.0
0.426,simultaneous_pose,292.5,0.0,292.5
0.428,simultaneous_pose,279.5,0.0,279.5
0.431,simultaneous_pose,279.5,0.0,279.5
0.434,simultaneous_pose,266.5,0.0,266.5
0.436,simultaneous_pose,286.0,0.0,286.0
0.439,simultaneous_pose,292.5,6.5,299.0
0.442,simultaneous_pose,305.5,0.0,305.5
0.444,simultaneous_pose,279.5,0.0,279.5
0.447,simultaneous_pose,273.0,0.0,273.0
0.45,simultaneous_pose,266.5,0.0,266.5
0.452,simultaneous_pose,273.0,0.0,273.0
0.455,simultaneous_pose,286.0,0.0,286.0
0.458,simultaneous_pose,305.5,0.0,305.5
0.46,simultaneous_pose,292.5,0.0,292.5
0.463,simultaneous_pose,292.5,0.0,292.5
0.465,simultaneous_pose,266.5,0.0,266.5
0.468,simultaneous_pose,279.5,0.0,279.5
0.471,simultaneous_pose,260.0,0.0,260.0
0.473,simultaneous_pose,273.0,0.0,273.0
0.476,simultaneous_pose,260.0,0.0,260.0
0.478,simultaneous_pose,260.0,0.0,260.0
0.481,simultaneous_pose,260.0,0.0,260.0
0.484,simultaneous_pose,247.0,0.0,247.0
0.486,simultaneous_pose,260.0,0.0,260.0
0.489,simultaneous_pose,299.0,0.0,299.0
0.491,simultaneous_pose,260.0,0.0,260.0
